ID;Empty Spaces;Negative Space;Interesting Elements;Significant Jumps;Linearity;Lenience;Avg Enemy Comp;Enemy Count;Density
401;0,9207779;0,11756199;0,05672245;0,10227273;0,97230685;0,9251337;0,20671836;0,14285715;0,027322404
402;0,8210121;0,031827815;0,14696772;0,3068182;0,522293;0,5294118;0,39069766;0,31746033;0,39344263
403;0,93990046;0,12673402;0,046796024;0,011363637;0,92799777;0,96256685;0,0;0,0;0,0
404;0,92487556;0,09142163;0,025525102;0,11363637;0,9446137;0,87700534;0,27906978;0,15873016;0,114754096
405;0,91668016;0,09830067;0,038287655;0,1590909;0,7673775;0,8449198;0,15503876;0,1904762;0,12021858
406;0,94536406;0,09417323;0,008508368;0,045454547;0,9446137;0,9197861;0,0;0,06349207;0,114754096
407;0,91804606;0,089587204;0,024107043;0,07954545;0,72860706;0,9037433;0,23255815;0,06349207;0,1693989
408;0,93307096;0,048312955;0,008508368;0,045454547;0,6566048;0,8181818;0,0;0,0;0,30601093
409;0,9494617;0,10105228;0,014180613;0,0;0,9778455;0,96791446;0,0;0,0;0,07650273
410;1,0;0,048312955;0,012762551;0,03409091;0,8283024;0,8235294;0,0;0,015873017;0,038251366
411;0,9549254;0,076746315;0,018434798;0,03409091;0,8338411;0,88235295;0,0;0,015873017;0,10382514
412;0,92487556;0,089587204;0,019852858;0,06818182;0,79507065;0,9144385;0,18604651;0,07936508;0,12021858
413;0,7830938;0,050075766;0,15746541;0,36363637;0,640347;0,5561497;0,45822564;0,42857143;0,4262295
414;0,9262415;0,09096301;0,015598675;0,056818184;0,79507065;0,9197861;0,31007752;0,04761905;0,1693989
415;0,9358027;0,11022433;0,04254184;0,07954545;0,90584326;0,93048126;0,31007752;0,0952381;0,021857923
416;0,97677964;0,07582912;0,025525102;0,03409091;0,8449183;0,9251337;0,0;0,0;0,010928961
417;0,9631207;0,0698673;0,036869597;0,07954545;0,8892274;0,80213904;0,15503876;0,0952381;0,04918033
418;0,9262415;0,12306522;0,05246827;0,07954545;0,9778455;0,93048126;0,13289037;0,11111111;0,021857923
419;0,89346;0,11618617;0,04254184;0,10227273;0,95015234;0,88235295;0,20671836;0,14285715;0,18579236
420;0,90302116;0,10655551;0,025525102;0,03409091;0,8892274;0,95187163;0,31007752;0,04761905;0,2021858
421;0,9125825;0,09646624;0,032615412;0,07954545;0,789532;0,88770056;0,18604651;0,07936508;0,19125684
422;0,9480959;0,07399471;0,012762551;0,09090909;0,52367765;0,87700534;0,0;0,031746034;0,13661203
423;0,9549254;0,058402214;0,024107043;0,1590909;0,7175298;0,7486631;0,093023255;0,15873016;0,13114753
424;0,7236884;0,07171868;0,16927533;0,375;0,77487373;0,6096257;0,4744186;0,47619048;0,568306
425;0,93307096;0,09738345;0,038287655;0,10227273;0,8283024;0,9144385;0,13289037;0,11111111;0,021857923
426;0,9480959;0,098759264;0,028361226;0,10227273;0,88368875;0,8716577;0,3255814;0,12698413;0,032786883
427;0,95219356;0,0726189;0,014180613;0,10227273;0,79507065;0,82887703;0,13289037;0,11111111;0,12021858
428;0,9344369;0,1038039;0,028361226;0,022727273;0,83937967;0,96256685;0,0;0,0;0,09836066
429;0,9576571;0,07720493;0,035451535;0,13636364;0,7618388;0,80213904;0,10335918;0,14285715;0,032786883
430;0,9713161;0,08224957;0,028361226;0,056818184;0,6455276;0,8663102;0,0;0,015873017;0,0054644807
431;0,9412664;0,107931316;0,02127092;0,0;0,9667682;0,98930484;0,0;0,0;0,08743169
432;0,9439981;0,095090434;0,035451535;0,13636364;0,8116865;0,8128342;0,18604651;0,15873016;0,043715846
433;0,96721846;0,08224957;0,025525102;0,10227273;0,8338411;0,8395722;0,13289037;0,11111111;0,021857923
434;0,93990046;0,09371464;0,028361226;0,11363637;0,88368875;0,87700534;0,20671836;0,14285715;0,021857923
435;0,76539856;0,050075766;0,17058752;0,3409091;0,63485616;0,62566847;0,48;0,3968254;0,44808742
436;0,93170506;0,07949794;0,019852858;0,056818184;0,80614793;0,88235295;0,31007752;0,04761905;0,18579236
437;0,93716866;0,118937775;0,04254184;0,045454547;0,98338413;0,9411765;0,23255815;0,06349207;0,016393442
438;0,9508276;0,08316677;0,028361226;0,1590909;0,80614793;0,8181818;0,15503876;0,1904762;0,032786883
439;0,93716866;0,113434546;0,028361226;0,0;0,9667682;0,98930484;0,0;0,0;0,07650273
440;0,9549254;0,09784206;0,032615412;0,056818184;0,7729161;0,9251337;0,0;0,031746034;0,021857923
441;0,9153144;0,10655551;0,029779289;0,045454547;0,7729161;0,93048126;0,0;0,031746034;0,15300547
442;0,919412;0,10196947;0,026943164;0,03409091;0,88368875;0,9411765;0,0;0,031746034;0,1693989
443;0,919412;0,107931316;0,03119735;0,06818182;0,9446137;0,9037433;0,31007752;0,0952381;0,12021858
444;0,9289733;0,09279742;0,024107043;0,06818182;0,93907505;0,93582886;0,31007752;0,0952381;0,114754096
445;0,9276074;0,09417323;0,025525102;0,11363637;0,9224591;0,86096257;0,093023255;0,15873016;0,10928962
446;0,78182983;0,055168215;0,15877762;0,32954547;0,640347;0,54545456;0,4224806;0,3809524;0,4262295
447;0,80331683;0,039042126;0,15746541;0,32954547;0,56896555;0,5721925;0,55409503;0,36507937;0,38251367
448;0,9344369;0,09830067;0,039705716;0,13636364;0,96122956;0,85026735;0,15503876;0,1904762;0,038251366
449;0,905753;0,09967646;0,03119735;0,07954545;0,80614793;0,8983957;0,31007752;0,0952381;0,17486338
450;0,90985066;0,09692486;0,018434798;0,045454547;0,92799777;0,9465241;0,0;0,06349207;0,22404371
451;0,91804606;0,09554905;0,024107043;0,10227273;0,7729161;0,87700534;0,10335918;0,14285715;0,1420765
452;0,92350966;0,09554905;0,022688981;0,10227273;0,9003046;0,8663102;0,10335918;0,14285715;0,1420765
453;0,9262415;0,08087376;0,011344491;0,06818182;0,7064525;0,8983957;0,31007752;0,04761905;0,21311475
454;0,9508276;0,112975955;0,038287655;0,011363637;0,9224591;0,98930484;0,0;0,0;0,0054644807
455;0,9494617;0,107931316;0,032615412;0,022727273;0,98338413;0,9946524;0,0;0,031746034;0,0054644807
456;0,95355946;0,10976572;0,029779289;0,022727273;0,90584326;1,0;0,0;0,0;0,016393442
457;0,9781456;0,06849148;0,0056722453;0,03409091;0,81722516;0,8930481;0,0;0,015873017;0,06557377
458;0,82859576;0,038617752;0,15484099;0,3181818;0,5113113;0,5294118;0,46068662;0,33333334;0,30601093
459;0,9358027;0,11618617;0,04254184;0,056818184;0,98338413;0,93582886;0,52093023;0,07936508;0,016393442
460;0,94536406;0,084083974;0,02127092;0,045454547;0,85599554;0,90909094;0,31007752;0,04761905;0,114754096
461;0,90985066;0,09142163;0,024107043;0,045454547;0,8227638;0,8930481;0,31007752;0,04761905;0,22404371
462;0,9344369;0,10105228;0,035451535;0,07954545;0,9556909;0,93048126;0,13289037;0,11111111;0,05464481
